clients,threads,transactions,run,buffer,ext,tps,lat_avg,lat_std
2,2,3000,1,500,1,926.479097,2.157,0.252
2,2,3000,2,500,1,976.479220,2.044,0.241
2,2,3000,3,500,1,1005.586536,1.986,0.270
4,2,3000,1,500,1,1925.754153,2.069,0.417
4,2,3000,2,500,1,1982.770386,2.013,0.635
4,2,3000,3,500,1,1998.250864,1.995,0.217
8,2,3000,1,500,1,3370.976371,2.334,0.341
8,2,3000,2,500,1,3359.154501,2.327,0.343
8,2,3000,3,500,1,3376.728041,2.320,0.373
16,2,3000,1,500,1,4382.317786,3.573,1.038
16,2,3000,2,500,1,4511.236645,3.472,0.956
16,2,3000,3,500,1,4559.254494,3.420,0.826
32,2,3000,1,500,1,4410.557883,7.130,2.572
32,2,3000,2,500,1,4365.281876,7.210,2.497
32,2,3000,3,500,1,4349.649867,7.224,2.613
64,2,3000,1,500,1,4135.965559,15.253,7.031
64,2,3000,2,500,1,4065.201943,15.523,7.601
64,2,3000,3,500,1,4084.233660,15.450,7.155
2,2,3000,1,1000,1,1119.601631,1.786,0.172
2,2,3000,2,1000,1,1121.885576,1.781,0.278
2,2,3000,3,1000,1,1112.560943,1.796,0.362
4,2,3000,1,1000,1,1964.395013,2.029,2.912
4,2,3000,2,1000,1,2013.442751,1.981,0.869
4,2,3000,3,1000,1,2036.495354,1.958,0.657
8,2,3000,1,1000,1,3256.983753,2.414,0.941
8,2,3000,2,1000,1,2913.103930,2.704,2.018
8,2,3000,3,1000,1,3001.283799,2.600,1.736
16,2,3000,1,1000,1,4218.437737,3.714,1.985
16,2,3000,2,1000,1,4313.039703,3.635,1.767
16,2,3000,3,1000,1,4260.778838,3.674,1.812
32,2,3000,1,1000,1,4397.545235,7.169,3.156
32,2,3000,2,1000,1,4383.120930,7.173,3.080
32,2,3000,3,1000,1,4452.706483,7.069,2.698
64,2,3000,1,1000,1,4220.424693,14.961,6.813
64,2,3000,2,1000,1,4140.850691,15.242,6.838
64,2,3000,3,1000,1,4128.825550,15.291,6.802
2,2,3000,1,500,0,1128.448892,1.772,0.348
2,2,3000,2,500,0,1128.318597,1.771,0.408
2,2,3000,3,500,0,1135.172565,1.759,0.337
4,2,3000,1,500,0,2107.024556,1.893,0.457
4,2,3000,2,500,0,2052.006041,1.942,0.577
4,2,3000,3,500,0,2064.806356,1.934,0.889
8,2,3000,1,500,0,3164.336660,2.487,1.545
8,2,3000,2,500,0,3158.256274,2.463,1.445
8,2,3000,3,500,0,2781.063875,2.835,2.398
16,2,3000,1,500,0,4004.320662,3.890,3.668
16,2,3000,2,500,0,4334.077561,3.603,1.827
16,2,3000,3,500,0,4396.101574,3.561,1.533
32,2,3000,1,500,0,4437.140418,7.068,3.454
32,2,3000,2,500,0,4418.441100,7.116,3.540
32,2,3000,3,500,0,4411.256479,7.111,3.321
64,2,3000,1,500,0,4155.619285,15.184,7.982
64,2,3000,2,500,0,4075.747253,15.487,8.990
64,2,3000,3,500,0,4121.069643,15.340,8.772
2,2,3000,1,1000,0,1122.860390,1.780,0.698
2,2,3000,2,1000,0,1101.305010,1.815,0.615
2,2,3000,3,1000,0,1132.645000,1.765,0.347
4,2,3000,1,1000,0,2068.841743,1.926,0.488
4,2,3000,2,1000,0,2008.696988,1.985,0.882
4,2,3000,3,1000,0,1960.126454,2.034,1.332
8,2,3000,1,1000,0,3283.602265,2.388,1.116
8,2,3000,2,1000,0,3113.950746,2.512,1.685
8,2,3000,3,1000,0,2883.217440,2.724,2.276
16,2,3000,1,1000,0,4206.348010,3.694,3.843
16,2,3000,2,1000,0,4407.800521,3.548,2.528
16,2,3000,3,1000,0,4296.589260,3.647,2.895
32,2,3000,1,1000,0,4567.305165,6.878,3.479
32,2,3000,2,1000,0,4418.911117,7.123,3.626
32,2,3000,3,1000,0,4534.904023,6.931,3.793
64,2,3000,1,1000,0,4285.219285,14.744,7.045
64,2,3000,2,1000,0,4242.345863,14.867,7.104
64,2,3000,3,1000,0,4232.338452,14.910,7.104
