clients,threads,transactions,run,ver,tps,lat_avg,lat_std
2,2,3000,1,184,1143.554820,1.748,0.286
2,2,3000,2,184,1136.182019,1.759,0.200
2,2,3000,3,184,1097.791445,1.821,0.508
4,2,3000,1,184,2090.995234,1.906,0.665
4,2,3000,2,184,2095.769689,1.905,0.463
4,2,3000,3,184,2095.917572,1.904,0.341
8,2,3000,1,184,3376.713313,2.327,0.600
8,2,3000,2,184,3291.473110,2.391,0.398
8,2,3000,3,184,3332.992165,2.368,0.357
16,2,3000,1,184,4512.763081,3.459,0.894
16,2,3000,2,184,4418.028723,3.547,1.014
16,2,3000,3,184,4362.686488,3.588,0.899
32,2,3000,1,184,4396.711626,7.169,2.765
32,2,3000,2,184,4399.277107,7.167,2.684
32,2,3000,3,184,4427.103725,7.103,2.622
64,2,3000,1,184,4055.314147,15.570,8.343
64,2,3000,2,184,4148.677361,15.234,6.999
64,2,3000,3,184,4111.754489,15.369,7.159
