clients,threads,transactions,run,ver,tps,lat_avg,lat_std
2,2,3000,1,master,1138.035989,1.756,0.149
2,2,3000,2,master,1150.842234,1.736,0.239
2,2,3000,3,master,1158.271866,1.725,0.140
4,2,3000,1,master,2097.630726,1.899,0.343
4,2,3000,2,master,2094.123888,1.904,0.405
4,2,3000,3,master,2072.645893,1.924,0.442
8,2,3000,1,master,3425.206897,2.297,0.314
8,2,3000,2,master,3477.960958,2.248,0.468
8,2,3000,3,master,3359.427218,2.323,0.575
16,2,3000,1,master,4540.003961,3.438,1.146
16,2,3000,2,master,4503.138265,3.472,1.296
16,2,3000,3,master,4407.920335,3.551,1.112
32,2,3000,1,master,4600.808237,6.837,3.258
32,2,3000,2,master,4558.384862,6.909,2.791
32,2,3000,3,master,4509.759119,6.982,2.982
64,2,3000,1,master,4119.659015,15.332,17.566
64,2,3000,2,master,4229.666205,14.948,11.588
64,2,3000,3,master,4235.230340,14.922,13.368
